,id,text_n,is_sarcastic
446,609,"Заказ 1496583694 должен был быть доставлен 14.12.2023,сегодня 22.12.2023,а ВОЗ и ныне там....В оправдание робот говорит,что не подходит по габаритам в ячейку.Смешно.Зарядное устройство не может залезть в постамат?
Заказ 1499537058 тоже самое.
Очень жалею,что связалась с этой доставкой!И всем не советую!!!",1
452,629,"Заказ из Москвы в Москвы неделю едет, при звонке, сотрудники не могут сказать точную дату доставки и где заказ. •Супер• контора просто. Никто не за что не отвечает, никто ничего не знает. На просьбу выяснить где заказ и когда будет доставлен, один ответ, это невозможно.",1
459,613,Заказал картину сдек в упаковке гофрокартоном из Краснодара.сделал упаковку в два раза толще с прослойкой пузырьковой пленкой .Принес и тут же впарили жесткий каркас за1500р и пересылка 1500р в Ульяновск. ПУНКТ сдек мамайка Волжская 30 .Больше никогда не пойду в СДЕК.при мне за бумажную коробку женщина заплатила 2500р.Вот здорово работают.,1
483,330,"Заказали телефон в интернет магазине Мтс (Вроде бы не дешевый Айфон 11)да ладно,назначили день,время приезда курьера,ребёнок весь день прождал телефон,так к нам никто не приехал и никто не позвонил.Звоним в интернет магазин,рассказываем ситуацию,нам говорят ну ждите с вами свяжутся!!!
У ребёнка на след день д.р ребёнок ждёт!!!Опять звоним в интерне магазин и спрашиваем,к нам вообще курьер приедет,нам отвечают:ваш запрос будет обрабатываться... ",1
498,1917,"Закройте передачу, это не Голос, это стал конкурс песни... Мрак.. такое чувство, что сижу в Баре и слушаю, не лучшего качества, каверверсии. Пресняков как Элочка из 12 стульев, только набор слов другой))) Вкусненько, Сладенько. Беляев жаль что у него нет чувства - Самозванца, потому что он не мэтр как пытатся казаться, он хороший маркетолог, а не музыкант. Закройте передачу, не... ",1
501,844,"Замечательно работаете. Приобрели телефон в подарок ребенку в подарок шла ваша карта, а на сим карте задолженность 2781,96 р., которую нам предлагаете погасить. Слышали конечно про вашу компанию, что обманываете, но не думали, что прям так внаглую! В топку вашу симку! Всем знакомым расскажу ещё!",1
511,64,"Зашла в купе и тут такой сюрприз) неприятно. Могли бы повнимательней убираться! А к пассажирам, которые это оставили, ну позор !",1
513,383,"Звонила мне сегодня ""специалист"" по качеству из МТС, представилась Воронковой Екатериной Сергеевной.

Как оказалось, ""тьма дремучая"" в компетентности всех ""специалистов"".
Разницы между ""специалистами"" в чате, ""специалистами"" по телефону, ""специалистами"" по качеству нет. Все они читают одни и те же скрипты, просто звонят/пишут по разным каналам связи, нарекают себя по-разному, зачитывают/копируют одни и те же скрипты.

Дама, представившаяся Воронковой Екатериной, начала с шикарной фразы... ",1
514,315,"Звонила сотрудница МТС по имени Карина, обещала тариф, где можно бесплатно подключить 6 номеров на пол года, не вертье, там сидеть одни мошенники и жулики. 🤦 Хорошо, что я позвонила, уточнить по подключенному тарифу, мне по горячей линии сказали, что не могут подключить данную услугу. Впарили ролтер за 3600, а мастер говорил, что 1600, ну и конторка конечно. Позвонила на... ",1
519,654,"Здравствуйте, так получилось, что вначале мой профиль обычного человека якобы взламывали, я так думаю чтобы агенты авито вывели мои деньги с авито доставок а потом и вовсе заблокировали, по какой причине мой профиль заблокирован я уже несколько месяцев не могу получить ответа. Службы поддержки меня игнорирует. У меня все отзывы были хорошие все всегда довольны,",1
524,20,"Здравствуйте.20.11.23г.ехали поездом 129 Анапа-Красноярск в 24 вагоне,впечатлений масса!!!!проводницы грубиянки редкостные....хамили,орали на пассажиров(Наталья) вагон практически не мыли,тряпкой прошлись между проходом,ну и так сойдёт,биотуалет отдельная история,звуки при смывании издавались такие,что оглохнуть можно было,весь вагон сочувствовал людям у которых места возле туалета....уважаемое РЖД,проведите беседу со своими сотрудниками,есть разные люди ну и в принципе все понимают русскую речь,такое высокомерное отношения к пассажирам не приемлемо.....",1
530,847,И как вы хотите решить проблему если связь настолько замечательная что от вас даже СМски с кодом не доходят!? Одним словом Мегафон! 2 предыдущих комментария МОИ.,1
531,1004,"И не смотря на все это ваша компания ГАВНО! Сервис НОЛЬ! Бабло стричь умеете, операторы не грамотные мало того не осведомлены и не отвечают корректно на вопросы. Интернет тоже ГАВНО!",1
534,949,"Играешь себе в игрушечку от Мегафона - выиграйте Айфон, фигафон и так далее. Получаешь приз - отказываешься, но оно не сдается, оно приходит снова - ""ну, может, все-таки возьмешь подписку на ВК Музыку, ну позязя, ну возьми"".
И вот тут - туш, аплодисменты! Если ты соглашаешься, с тебя тут же слупливают сотню с лишним за эту самую подписочку.
Эти ребята... ",1
536,19,"Из Калуги в Москву и обратно пускают электрички - скотовозки по 4- 6 вагонов да ещё старые, задрипаные и вонючие. А что? 21 век!@@",1
540,339,"Имела глупость подключиться 3 месяца назад на этого оператора. При безлимитном интернете - в первый месяц якобы лимит был превышен…Как так?!… второй месяц - из 700 минут - сново превышено… с учётом того, что ранее мне 500 минут было достаточно более чем! Третий месяц кладешь деньги на счет, они поступают, тариф списывается…. И вуаля… на счету все равно минус и... ",1
543,323,"Интересные дела творятся в этой компании: где-то с середины этого года стали мне названивать и присылать смс о якобы имеющейся задолженности за услуги связи. Я с удивлением узнал, что являюсь владельцем какой-то компании, которая задолжала мтс, при всем при этом никаких договоров с этими де.... у меня нет( специально выяснял в одном из офисов) и пользуюсь исключительно Мегафоном. Что удивляет:... ",1
545,980,"Интернет не работает связь дерьмо. Мегафон, спасибо за испорченное время, за четыре месяца. Пошол пятый месяц терпения. Но я больше не хочу иметь дело с таким беспределом и не уважением к своим клиентам.",1
546,868,"Интернет не стабильный, постоянно прыгает 3g, 4g , но при этом и в 4g проблемно что-то скачать. Раньше было хорошо в том же самом месте. Звонишь оператору, вечные отмазки- работа на линии, ремонт оборудования",1
548,892,"Интернет отсутствует вообще!! Страницы открываются по 5 минут и это их якобы высокоскоростной интернет!!! Позорище!!! 20 лет пользуюсь мегафоном и думаю, что пора уходить!",1
549,929,"Интернет пропадает, до оператора не дозвонился, заняты. Звонил каждый день в течении месяца. По120 звонков в день делал. Заняты. С этим номером ухожу в Мтс.",1
551,84,"Интернет ужасный, ничего норм не загрузить, скорость ужасная. Гор линия работает отвратительно. Никогда не дозвониться к ним.
А вот спам звонки в них работают на ура.",1
554,1084,Интернета нету пинг в играх не менее 100 000. А теперь плюсы: разраб ПопкаФона ты наверное единственный кто даёт за 700 рублей понос на блюдечке пробовать не стал хотел сфоткать камера разбилась. Всего вам хорошего в разеботке ТвояМамкаФона 😁🖕,1
560,479,"Итальянский чемпионат можно смотреть на Матч ТВ, а наш родной российский, ведущих команд, только на Матч Премьер за деньги и то при наличии Смарт телевизора, а если у меня нет Смарт телевизора. Это как нормально! На болельщиков им наплевать, их только бабло интересует.",1
563,940,"Каждый вечер, про выходные я молчу, стабильно падает скорость. К концу июня обещали провести модерацию и в поддержке утверждают что провели, но как было так и осталось. Вот так мегафон улучшает качество! Просто вешают лапшу на уши!",1
565,393,Каждый раз при пополнении счёта списывают копейки. Копейки бывают и 99. Хороший заработок помноженный на миллионы клиентов...,1
574,2050,"Как отдых в загнивающей Европе ребята? "" Патриоты"" Вы наши!",1
583,882,"Какой-то то кошмар творит мегафон в последнее полгода, охренели в край!
Нет не интернета, не связи
На все обращения роботы Мегафона говорят, все отлично.
Нечего не меняется, а только становится хуже.",1
587,548,"Канал хороший. Но , если нас отстранили ото всюду , зачем показывать тот же футбол не дружественных нам стран??? Давайте смотреть только наш говнофутбол",1
590,108,"Качество предоставления услуги кабельное телевиденье отицательное. Исправление технических неполадок каждый месяц жду по 3-5 дней, при этом операторы обманывают, что в течение 2 часов с нами свяжется технический специалист. Связи нет ни с руководством, ни с техспециалистами. А толку от разговоров с операторм нет никакого! Одни нервы, дозвониться можно только через единый номер, это долго и неэффективно, каждый раз в... ",1
593,560,"Классно придумали креативные менеджеры!
Теперь зрителям можно просто смотреть как несколько человек смотрят трансляцию и рассказывают,что видят со своей точки зрения.
Причем во время разговора им (экспертам) ещё нужно все таки следить за матчем.
Вообще получается, что прямая трансляция это лишнее. Зачем?",1
595,96,"Клиентоориентированность- НОЛЬ!!!
Заказала услугу переезд, уже 4й день не могут оказать услугу или что-то сказать по существу!!! Позвонила девушка попросила пополнить баланс (пополнила сразу), сказала перезвонит через час!!! Уже четвёртый день перезванивает, никак не дозвонится!!!",1
599,960,"Когда перешёл на мегафон, пол года интернет просто радовал. А сейчас, при показателе 4g+ видео даже в 760 не грузит никак. Тысяча обращений в поддержку, одни обещания что что то поправили и тысяча скидок. Зачем мне эти скидки? Вы даже ежемесячную плату подняли, было бы за что....
А ещë в рекламе говорили что вы номер 1 по качеству интернета...",1
600,1967,"Когда показывали рост % зрительских голосов, было видно, что у Олеси самая низкая ""движуха""! И вдруг - о, чудо! проценты так и посыпались! Вся страна видела и слышала, что Олеся была слабейшей в этой тройке!Опять обман!Нужно аннулировать подделанные результаты голосования!",1
615,144,"Компания РТК делает все чтобы стать хуже. С удовольствием собирает дизлайки и все отрицательные отзывы. Схема простая : государство отказывается от балласта с минимум по деньгам и Co"" переходит в частные руки... Ура",1
618,633,"Компания по началу была очень хорошая даже лучшей из того чего было но сейчас или зажрались или у них нет нормальных клиентов. Не чем доставить посылку во время, и такие деньги лупят... С Москвы в тылу три дня идет наверное пешком...",1
630,1049,"Крайне не довольна. Мало того, что связь стала плохая, так еще и деньги снимают не понятно за какие заслуги. В первый раз сняли 3 тысячи за то, что у меня телефон лежал в номере выключенный, ответили мне, что он все-равно принимал сигнал и я пользовалась интернетом) Сейчас сняли 2,7 тысячи за сутки роуминга по России. Причем я подключала услугу... ",1
634,416,"Кто это интересно решил что миллионы болельщиков должны зависеть от желаний дешевой грузинской подстилки, кто вообще дал ей рулить спортивным каналом . Она в спорте разбирается как свинья в апельсинах. Эта хрень с русского радио плюс какие то КВНщик,а что в стране профессионалов не осталось? Маслюков наплодил дармоедов. Болелы если мы можем вызвать на разговор тренеров команды даже владельцев... ",1
642,1103,"Купил симку мегафона на озоне с оплаченным тарифом на 3 месяца для теста. Не устроил регион Нижний Новгород, который изменить нельзя ни как, даже при смене тарифа. Подобрал себе тариф, заказал местную сим 2Гб для устройств на всегда.
И тут начались чудеса. Пришло СМС о задолженности на номерах с которыми мегафон заключил договора по моим паспортным данным в Волгограде в 2023... ",1
649,930,"Купила симку для модема 2 года назад, т.к. мегафон у меня ловит хорошо и много вышек рядом. Год всё было хорошо, а потом началось, постоянное снижение скорости, да так что даже браузер не открывает, операторы с начало года рассказывают одну и ту же сказку, типа меняют оборудование на нашей вышки, да за год можно поменять оборудование по всей России. а... ",1
650,1014,"Купила телефон в салоне Мегафон и сразу решила купить новую сим-карту. Сперва все было не плохо, но потом постоянно деньги стали исчезать со счета. Подключила личный кабинет, оказалось, что мне подключили миллион ненужных приложений "" Кто звонил"" и т.д. Потом еще лучше, стали постоянно звонить и предлагать сменить тариф. На все мои отказы отреагировали чудесно - в один прекрасный день... ",1
651,316,"Купила телефон и обнаружила дома,что экран весь в полосках,в офисе ,где телефон покупали,мне его не предложили осмотреть,показали в своих руках,телефон исправный, всё отлично,было сказано. По факту продали сломанный телефон. Телефон принесли назад,где его взяли на проверку....за 20 дней,мне 3 раза возвращали деньги ждите,ждите сейчас придут,решайте вопрос с банком, а потом звонят и наглым голосом говорят,вам сервисный центр отказал в выплате.... ",1
656,1920,"Лобода раздражает с первого выпуска этого сезона, но сегодня ее поведение (выпуск от 12 марта) превзошло все предыдущее: постоянное выскакивание из кресла с желанием показать себя, посиделки в обнимку с Бастой на подлокотнике его кресла, ну и каждая возможность показать себя, такую замечательную. Она , очевидно, забывает зачем и почему она находится в студии?",1
657,834,"Лучшая фишка Мегафон , это смена тарифа без предупреждения. Раньше,это было один раз в год, сейчас уже два. Самое смешное, что они улучшают условия , конечно же в свою пользу. Был подключен тариф который более менее устраивал меня, но Мегафон просто сменил его на более высокий , оставил тот же пакет мин, но убрал безлимитный интернет. Естественно свои тариф я... ",1
658,1818,Лучших убрали в процессе шоу. И это правильно. Ведь иначе на эстраде придётся подвинуться престарелых и охрипшим. А так на сцене одни и те же и поют одно и тоже. Да здравствует бабло.,1
677,881,"Мало того,что дорого и глупо,ещё и этого петуха псевдозвездуна в рекламу запихнули. Просто плевок в лица абонентов,да и простых граждан России. Этот народный артист очень отличился,пропаганда ЛГБТ,оскорбление журналистов,рукоприкладство по отношение к охраннику,голый петух,ой извините король,ах простите не в ту дверь..шлейф всего ,что этот Киркоров сделал,за всю историю карьеры. Это позор отечественной эстрады! И ещё крайне не приятно то,что представитель мегафона... ",1
682,553,"Матч тв вы посто красавцы нам важен матч аякс паок!!! Просто дол..ебы не слов, продолжайте так же ..",1
685,901,"Мегафон - ужасная компания стала! Мало того что дозвонится до операторов невозможно, висишь по 20-30 мин. на телефоне, воруют деньги не спрашивая, подключают услуги без моего ведома! Ребенку подключила симку, он никому не звонит, только ему в основном, а деньги не успеваю ложить, позвонила узнать куда же испаряются деньги, оказывается у него уходят деньги на интернет, хотя он не знает... ",1
687,993,"Мегафон деградирует, интернета нет, связь постоянно обрывается, в поддержку не дозвониться. Зато в рекламе всё замечательно. Пользуюсь с 2015 года, но просто вынужден сменить оператора, за последнее время качество услуг ухудшилось до уровня "" ниже плинтуса "".",1
704,1071,"Мегафон, аллё! Ну ладно у этого павлина ""вдруг денег не стало - полез опять в рекламу"". Но вы-то, ""эффективные менеджеры"", млин, у вас не стало ни ума, ни совести, ни чести! Народ за быдло держите??? Операторов-то много, не забывайте.",1
707,970,"Мегахрень!!!Купила 3G модем скорость ниже плохой(а сами сказали что хорошая,интересно это у них она реально считается хорошей).Ну сходила сказали как увеличить,да сработало на 1 день и теперь всего то 2 деления,а на телефоне моей бабушки все,как объяснить это а?НЕ ПОКУПАЙТЕ ЭТУ ХРЕНЬ.
P.S.И почему у нас в деревне поставили именно эту вышку.",1
712,10,"Мне вполне хватило поездки в люксе на верхней полке, чтобы понять, что СВ с верхней полкой - это катастрофа. Всегда с удовольствием ездила в СВ с двумя нижними полками. В новый ""улучшенный"" вариант, конечно, брать билеты не буду.",1
714,57,"Мне интересно, в РЖД специально так обучают проводников, чтобы они клиентов г**ном поливали?! Катаюсь в поездах еще с 90-х и ни разу не видел проводницу в хорошем настроении.
На любые вопросы отвечают только закатив глаза, ни о чем попросить их нельзя.
Пусть чтоли какие-то семинары для них проводят ""как общаться с людьми"" или вообще увольняют весь колхоз и берут на работу адекватных... ",1
723,1020,"Много лет клиент мегафона, и каждый раз как у безумца мысли что все исправится. До этого отзыва писал в службу поддержки пару лет назад, клялись что все исправят, даже на счет бонусом 250р закинули. А сейчас уже просто достала отстойная связь. Интернетом ваще весело, каждые пару минут в телефоне включаешь режим полета (перезапуск сим карты), и вроде начинает летать, секунд... ",1
724,675,"Много отзывов о разводах на авито, но и сама площадка с удовольствием вас разведет. Занимаюсь посуточной арендой и неоднократно попадал на сгорание заплаченных за сервисы размещения и продвижения денег в следствие хитроумных правил, настроенных так, что если не потратить кучу времени, чтобы в них разобраться - гарантированно потеряешь деньги.
Поддержка отвечает скриптами и вообще никак не вникает в ситуацию - ответ... ",1
741,306,"Мтс все еще воруют , 7 лет назад такая же ситуация была и сейчас уже переводы делают. А служба помощи в чате не способные амёбы которые просят обратиться в полицию. Отлично просто.",1
742,2031,"Мы Славим Путина и Россию, и показываем Всему Миру Оружие и Какие мы Сильные, Слова Иисуса Христа Иудеям: Если я Сам Себя Славлю, то Слава Моя Ничто. Меня прославляет Отец Мой, о Котором вы говорите, что он Бог ваш. Так Прославляйте Русские Бога Отца Бога Сына Бога Святого Духа и Царицу Небесную Которая после Революции и Захвата Власти в России... ",1
745,1988,"Мы за мир!

Двигателем атомным согрета,
Сотрясая воздух и эфир,
Стартовала поутру ракета
С кодовым названьем ""Мызамир"".
У нее особое задание:
Надо, маневрируя хитро,
Привезти от школьников послание,
Несмотря на вражескую ПРО.

Чтобы знали дети Пенсильвании,
Алабамы и обеих Каролин,
Что в России Вовы, Тани, Вани -
Кроме либералов - все за мир!",1
753,540,"На мой взгляд верх идиотизма - отключить трансляцию лыжного марафона, включить рекламу, а потом вездесущего губера с одновременным комментированием марафона и биатлона. В общем, фирменный стиль от матч-тв и его суперпродвинутой чудо-менеджера. Неужели этот бред когда-нибудь закончится?((((",1
760,1848,"На протяжении всего восьмого сезона в основном только отрицательные однозвездочные отзывы. Это же надо руководителям так бесцеремонно надругаться над таким замечательным проектом, это надо еще суметь так его опустить. ""Честь"" и ""хвала"" этим дядям, которые серьезный конкурс сумели превратить в выступление художественной самодеятельности. Хотя, надо заметить, что коллективы художественной самодеятельности зачастую ввступают гораздо лучше, чем нынешние конкурсанты Голоса.",1
765,1575,"На телефон была самая низкая цена в интернете, заказывал в выходной день, поэтому сначала подумал, что заказ отменят или назовут более высокую цену. Как оно обычно бывает, пока кто-то что-то не закажет, оно будет висеть ""в ниличии"". Но не в этом случае, товар был в ниличии и по той же низкой цене. Приятно удивлен)
После оплаты во второй половине дня, на... ",1
767,329,"Наверное МТС думает, что хамское отношение к клиентам прибавит их количество?
Средняя связь, но денег снимают как за самую лучшую.
Ужасный оператор!!!МТС",1
769,1,"Наверное утро доброе, но увы не для меня. Сегодня 13 января 2024 года, я должна была уехать на 47 поезде со станции Бежецк до Санкт-Петербурга, приехала я туда за 1,5 часа отсидев свое время до приезда поезда, о счастье и он пришел, но нет мой 18 вагон в самом хвосте я пошла в хвост, стоянка 3мин передо мной бежали... ",1
771,538,"Нагучев - худший из худших. Смакует со слюной на губах восхитительные эпитеты о восхитительной игре восхитительных футболистов. При этом вообще ни бельмеса не смыслит в футболе.
По ходу - очередной маднявый любимчик стареющей Канделаки.",1
779,1041,"Наконец-то,уже совсем скоро,я покину этого оператора!!!!!Каких нервов, последние года, стоила мне эта связь?!Последние года 4 разговаривать стало практически невозможно,постоянные обрывы связи...Все обращения по отвратительной связи и такому же LTD заканчивались стандартными отписками.Хоть бы одна сволочь предложила компенсации,ведь с моей стороны была полная и своевременная оплата.Главное.как взять-это на раз,а как вернуть-извините.у нас все хорошо((((И вот,когда я решила сменить оператора,компания сделала... ",1
780,804,"Написал в поддержку по поводу претензии которую составил оператор несколько дней ранее, после этого меня просто заблокировали.
Войти и спросить почему такое отношение невозможно.
Вот такой честный сервис)",1
781,848,"Наподключали всякие подписки без моего участия, и не надо говорить что подключить их можно только самому или это предусмотрено тарифом. С апреля ничего не было предусмотрено а в октябре взяли и придусмотрелись! Хорошо, что хоть деньги вернули, что ещё раз говорит что сам мегафон их подключает. Попросят, тогда вернут а не попросят - жизнь удалась. Так оператор ещё и... ",1
784,1939,"Наставники, выбор песен полный отстой!!... ПОЛНАЯ ДЕГРАДАЦИЯ!!! Какой был голос в начале!,,,, Участники пришли со своими номерами, которые были гораздо лучше, чем номера наставников - нижайший уровень!!! Просто смотреть больше никто не будет - загубили проект... ЭТО ЖЕ ведь ХОРОШИЕ ДЕНЬГИ были,,,,,",1
788,1099,"Начну с самого простого, это скорость. Скорость у компании великолепная, максимум который я замерял-20мб/с! Отличная скорость, которая дай бог выдержит видео с адекватным качеством, стабильная скорость у меня 4мб/с. компания уже 2 раза меняла мне тариф по собственному желанию, сначало они убрали больше половины функций и повысили цену, затем снова повысили стоимость за подключенный безлимит. Постоянная смена качества сети, будто... ",1
795,359,Не возможно дозвонится до оператора ! Не днём не ночью ! Уже аж смешно ! Говорят якобы все специалисты заняты,1
799,908,"Не знаю у кого как ,а меня мегафон опять поимел .Сколько раз зарекался не связываться с ОАО Мегафон ,опять попался ,правда на новую удочку ,в виде роутера.Понравился роутер мобильный,продавался в магазине мегафон,оказался прошит на мегафон.Думал,думал - купил.С безлимитным интернетом. Думал будет мне счастье. Ага! Месяц наслаждался интернетом.Через месяц мегафон проявил себя как всегда : После оплаты следующего месяца интернета,деньги сняли... ",1
801,1017,"Не играйте в эту игру полнейший обман!!! корректно она не работает (вылеты, зависание, если уровень прошел до его не засчитают и подарок не дадут). Отлично у них получаться деньги снимать!",1
804,2069,"Не много ли на себя берете???????????????????
Хочу, чтобы вы прочитали и ответили.
Надеюсь на благоразумие.",1
805,606,"Не могу даже сказать что день добрый! 18.09 был сделан заказ курьер забрал 19.09 адрес доставки Гулькевичи Краснодарский край Сегодня 29.09!!!!!!!!!!! посылки нет!!!!!!!!!!!!!!!!!!!!!! никто ничего сказать не может дозвониться достучаться не до кого
по интернет ответа нет телефон ждите 12 минут вы думаете кто-то будет ждать БЕЗОБРАЗНАЯ работа и до сих пор НЕТ ОТВЕТА",1
807,681,"Не могу попасть в свой личный кабинет на АВИТО.Это прямо издевательство какое то разместила 3 объявления о продаже мелочей из своего дома и не могу попасть в свой профиль,Эти господа хорошие требуют пройти проверку по видео. Я пожилой человек. С домашним интернетом, электронной почтой и просто мобильной связью.У меня нет камеры на компьютере и нет мобильного интернета. Это прикол что... ",1
809,164,"Не особо доволен, не решают проблему, хотя уже 2 заявки не выполнили!!! И теперь говорят что сами со мной свяжутся, итог неделя без интернета"" 21 век""",1
814,977,"Не работает на принятия звонка, пошел в салон не помогли, написали притензию… звоню на горячую линию второй день, не берут!!! Хочу сказать! В плохой Америке или Европе решили бы лицензии.. у нас зажравшимся компаниям можно все!!! ВИДИМО ВСЕ В ГОЛЬФ ИГРАЮТ НЕКОГДА! Казах упал в уважении после реклам !",1
819,2038,"Не хотят печатать отзыв, ну и ну! Послали прям в прямом эфире и больше он не показался! Вот она "" любимая передача"" - как говорит Скабеева.",1
821,705,"Невозможно разместить объявление, потому что после регистрации и размещении объявления - его сразу блокируют. Потом врут, что у меня нашли подозрительные действия и нужно передать мошенникам мои паспортные данные и видео лица (биометрию). Просто удалил никчемное приложение Авито, со смартфона и разместил объявление на Юле и нескольких чатах Телеграма. В течение часа, нашел себе работу (ремонт квартир), чему очень рад.... ",1
824,435,"Невозможно слушать комментатора, весь матч поклонение сборной Марокко. Какие у них атаки-сказка, лучшая схема, всё вязнут, как в болоте. Куча фактов про марокканских игроков, про португальских вскользь. Почему нельзя комментировать нейтрально? Разве мы смотрим футбол, чтобы слушать мнение комментатора, который явно симпатизирует одной из команд?",1
829,816,"Недавно начал заказывать в купере и все было хорошо до сегодняшнего дня. Сервера упали, привезли не тот заказ, поддержка мертва, глупый ботик говорит, что ничего менять мне не будут, и я сам виноват, что не посмотрел заказ при передаче его мне курьером (хотя курьер оставил его под дверью и ушел). Не сказать, что пришедшее нас очень расстроило, но это совсем... ",1
831,1054,"Недавно покупала телефон в салоне мегафон, города Сатка, дак вот, мне предложили сим карту с использованием в течение полугода совершенно бесплатно, меня обсолютно не предупредили что спишут с меня 738 рублей, после ещё спишется 180,т.е мне втюхали симку за которую ежемесячно я должна платить, вот спрашивается и где бесплатно????? Т. Е меня просто развели. Ужасно!!! И телефон кстати через неделю... ",1
